Wavelength,Hypo,Inc
186.932,992.8419000000000,1526.0933300000000
187.281,997.0756200000000,1545.8671350000000
187.63,1049.18757,1568.003125
187.978,1025.896775,1556.2883300000000
188.327,1008.950545,1563.1055000000000
188.676,1027.661555,1590.573185
189.024,1111.147445,1647.00227
189.373,1049.77577,1628.8168150000000
189.721,1041.1255600000000,1618.621815
190.069,1089.9406950000000,1657.625455
190.418,1202.263955,1720.12273
190.766,1235.79311,1754.7754500000000
191.114,1197.893815,1762.2795450000000
191.462,1207.843845,1768.7440900000000
191.81,1251.45318,1783.760455
192.158,1227.224405,1772.51136
192.506,1189.585665,1750.055915
192.854,1158.9401050000000,1721.1959100000000
193.202,1162.128495,1704.80409
193.55,1162.0712600000000,1697.000915
193.897,1124.66364,1678.5413650000000
194.245,1127.18427,1658.21455
194.593,1134.104895,1627.7577300000000
194.94,1084.2572,1599.2577250000000
195.288,1062.1983600000000,1595.717725
195.635,1098.0567100000000,1612.73591
195.982,1133.39273,1639.905005
196.33,1155.086045,1659.09636
196.677,1163.255835,1663.30863
197.024,1146.715245,1659.9322700000000
197.371,1180.523525,1676.359545
197.718,1172.545065,1672.982725
198.065,1182.014195,1664.030905
198.412,1242.0823100000000,1665.311365
198.759,1180.07472,1637.6827250000000
199.106,1102.627275,1604.62091
199.453,1066.969235,1586.0640950000000
199.8,1099.6505900000000,1593.9886350000000
200.146,1107.425245,1577.292725
200.493,1081.0649650000000,1552.57136
200.84,1072.17689,1550.10137
201.186,1067.5871650000000,1547.7222700000000
201.532,1070.4359050000000,1544.164085
201.879,1064.1014000000000,1543.60954
202.225,1145.3230050000000,1577.1536400000000
202.571,1216.317275,1607.960915
202.918,1159.96874,1600.840905
203.264,1128.25367,1597.3318100000000
203.61,1112.2298950000000,1580.8086400000000
203.956,1129.92668,1570.230455
204.302,1167.01636,1576.3195400000000
204.648,1143.5319950000000,1563.387275
204.994,1100.175455,1533.03455
205.34,1109.456045,1529.7981800000000
205.685,1090.6216100000000,1526.494545
206.031,1057.657315,1513.030005
206.377,1110.6992700000000,1537.2695500000000
206.722,1170.2583200000000,1574.18227
207.068,1165.74664,1582.67364
207.413,1161.659055,1571.532725
207.759,1159.706395,1560.66136
208.104,1149.304655,1563.965455
208.45,1187.04293,1591.141815
208.795,1233.59853,1620.28773
209.14,1251.4490950000000,1622.00909
209.485,1280.06126,1604.5359150000000
209.83,1206.18143,1536.621815
210.175,1072.13983,1457.34273
210.52,1056.776955,1436.392725
210.865,1060.91364,1421.3081850000000
211.21,1043.2452050000000,1406.896815
211.555,1126.4544450000000,1422.38955
211.9,1087.6858000000000,1375.756815
212.244,942.0808050000000,1299.7831850000000
212.589,925.9657750000000,1280.4859150000000
212.934,959.91853,1276.83773
213.278,990.3611200000000,1265.3631850000000
213.623,1038.5466100000000,1273.19546
213.967,1051.0501100000000,1285.931365
214.311,984.1026950000000,1250.93637
214.656,914.710205,1197.7727250000000
