Date/Time,Lux
2024-10-04 11:09:24,Found a TSL2591 sensor
2024-10-04 11:09:34,TSL2591 Test
2024-10-04 11:09:44,Lux: 0.058
2024-10-04 11:09:54,Lux: 0.057
2024-10-04 11:10:04,Lux: 0.057
2024-10-04 11:10:14,Lux: 0.058
2024-10-04 11:10:24,Lux: 0.057
2024-10-04 11:10:34,Lux: 0.058
2024-10-04 11:10:44,Lux: 0.057
2024-10-04 11:10:54,Lux: 0.057
2024-10-04 11:11:04,Lux: 0.057
2024-10-04 11:11:14,Lux: 0.057
2024-10-04 11:11:24,Lux: 0.057
2024-10-04 11:11:34,Lux: 0.058
2024-10-04 11:11:44,Lux: 0.057
2024-10-04 11:11:54,Lux: 0.057
2024-10-04 11:12:04,Lux: 0.057
2024-10-04 11:12:14,Lux: 0.058
2024-10-04 11:12:24,Lux: 0.057
2024-10-04 11:12:34,Lux: 0.058
2024-10-04 11:12:44,Lux: 0.057
2024-10-04 11:12:54,Lux: 0.057
2024-10-04 11:13:04,Lux: 0.057
2024-10-04 11:13:14,Lux: 0.057
2024-10-04 11:13:24,Lux: 0.058
2024-10-04 11:13:34,Lux: 0.058
2024-10-04 11:13:44,Lux: 0.057
2024-10-04 11:13:54,Lux: 0.058
2024-10-04 11:14:04,Lux: 0.058
2024-10-04 11:14:14,Lux: 0.057
2024-10-04 11:14:24,Lux: 0.057
2024-10-04 11:14:34,Lux: 0.057
2024-10-04 11:14:44,Lux: 0.057
2024-10-04 11:14:54,Lux: 0.057
2024-10-04 11:15:04,Lux: 0.057
2024-10-04 11:15:14,Lux: 0.057
2024-10-04 11:15:24,Lux: 0.057
2024-10-04 11:15:34,Lux: 0.057
2024-10-04 11:15:44,Lux: 0.057
2024-10-04 11:15:54,Lux: 0.057
2024-10-04 11:16:04,Lux: 0.057
2024-10-04 11:16:14,Lux: 0.057
2024-10-04 11:16:24,Lux: 0.057
2024-10-04 11:16:34,Lux: 0.057
2024-10-04 11:16:44,Lux: 0.057
2024-10-04 11:16:54,Lux: 0.057
2024-10-04 11:17:04,Lux: 0.057
2024-10-04 11:17:14,Lux: 0.057
2024-10-04 11:17:24,Lux: 0.057
2024-10-04 11:17:34,Lux: 0.057
2024-10-04 11:17:44,Lux: 0.057
2024-10-04 11:17:54,Lux: 0.057
2024-10-04 11:18:04,Lux: 0.057
2024-10-04 11:18:14,Lux: 0.057
2024-10-04 11:18:24,Lux: 0.057
2024-10-04 11:18:34,Lux: 0.057
2024-10-04 11:18:44,Lux: 0.057
2024-10-04 11:18:54,Lux: 0.057
2024-10-04 11:19:04,Lux: 0.057
2024-10-04 11:19:14,Lux: 0.057
2024-10-04 11:19:24,Lux: 0.057
2024-10-04 11:19:34,Lux: 0.057
2024-10-04 11:19:44,Lux: 0.057
2024-10-04 11:19:55,Lux: 0.057
2024-10-04 11:20:05,Lux: 0.057
2024-10-04 11:20:15,Lux: 0.057
2024-10-04 11:20:25,Lux: 0.057
2024-10-04 11:20:35,Lux: 0.057
2024-10-04 11:20:45,Lux: 0.057
2024-10-04 11:20:55,Lux: 0.057
2024-10-04 11:21:05,Lux: 0.057
2024-10-04 11:21:15,Lux: 0.057
2024-10-04 11:21:25,Lux: 0.057
2024-10-04 11:21:35,Lux: 0.057
2024-10-04 11:21:45,Lux: 0.057
2024-10-04 11:21:55,Lux: 0.057
2024-10-04 11:22:05,Lux: 0.057
2024-10-04 11:22:15,Lux: 0.057
2024-10-04 11:22:25,Lux: 0.057
2024-10-04 11:22:35,Lux: 0.057
2024-10-04 11:22:45,Lux: 0.057
2024-10-04 11:22:55,Lux: 0.057
2024-10-04 11:23:05,Lux: 0.057
2024-10-04 11:23:15,Lux: 0.057
2024-10-04 11:23:25,Lux: 0.057
2024-10-04 11:23:35,Lux: 0.057
2024-10-04 11:23:45,Lux: 0.057
2024-10-04 11:23:55,Lux: 0.057
2024-10-04 11:24:05,Lux: 0.056
2024-10-04 11:24:15,Lux: 0.057
2024-10-04 11:24:25,Lux: 0.057
2024-10-04 11:24:35,Lux: 0.057
2024-10-04 11:24:45,Lux: 0.057
2024-10-04 11:24:55,Lux: 0.057
2024-10-04 11:25:05,Lux: 0.057
2024-10-04 11:25:15,Lux: 0.057
2024-10-04 11:25:25,Lux: 0.057
2024-10-04 11:25:35,Lux: 0.057
2024-10-04 11:25:45,Lux: 0.057
