Wavelength,Hypo,Inc
ST02168_1:101,,
275.067,1028.4833899999999,1147.1086299999997
275.402,954.40535,1074.36319
275.736,947.4238799999997,1059.334995
276.071,1007.76511,1102.184095
276.405,955.127725,1103.405
276.74,1064.97559,1171.91409
277.074,1149.3734299999996,1242.2613649999998
277.408,1086.55346,1239.065
277.742,1039.9961900000003,1220.725455
278.077,1063.5474800000002,1219.95
278.411,1076.8709450000001,1214.27636
278.745,1051.0814349999998,1198.63909
279.079,1174.7000400000002,1244.2540950000002
279.413,1180.304585,1259.76455
279.747,1114.53528,1249.22955
280.081,1133.37993,1257.1254549999999
280.414,1071.244615,1227.921365
280.748,1052.32286,1217.4036350000001
281.082,1071.3764700000002,1224.203635
281.416,1077.68206,1229.84045
281.749,1080.6749250000003,1237.027265
282.083,1079.848745,1231.2050000000002
282.416,1114.615275,1232.074995
282.75,1117.5808700000002,1222.25591
283.083,1121.978845,1226.4554499999995
283.416,1108.97287,1243.73409
283.75,1093.9333549999997,1256.82772
284.083,1203.6484249999999,1293.28272
284.416,1194.0330049999998,1251.7231849999998
284.749,1038.242905,1161.1218250000002
285.082,977.6944050000001,1133.455905
285.415,1024.5984250000001,1135.97727
285.748,1014.8179050000001,1109.66
286.081,940.65388,1078.568635
286.414,977.3059850000002,1107.33455
286.747,1047.2233899999999,1157.730455
287.08,1066.6034250000002,1175.765
287.412,1021.5476900000001,1146.8868149999998
287.745,948.711675,1111.6404549999997
288.078,1056.5086299999998,1169.807725
288.41,1211.829615,1273.474995
288.743,1189.09077,1307.1118150000002
289.075,1138.7817499999999,1303.7118150000001
289.408,1244.34262,1357.13409
289.74,1295.5931099999998,1405.073635
290.072,1258.24934,1406.906365
290.405,1258.49525,1396.218185
290.737,1239.5187,1372.565905
291.069,1269.8169550000002,1386.26636
291.401,1296.6981150000001,1405.74182
291.733,1248.31248,1383.63909
292.065,1207.8785950000001,1359.1918150000001
292.397,1208.3185950000002,1353.115455
292.729,1207.0396100000003,1346.58545
293.061,1172.98521,1324.168635
293.393,1192.1275850000002,1316.1486300000001
293.724,1164.19479,1287.61091
294.056,1123.09622,1264.0318150000003
294.388,1153.1051350000002,1282.29818
294.719,1166.0719550000001,1296.83227
295.051,1208.630905,1299.3254499999998
295.382,1166.5082900000002,1256.280905
295.714,1092.093425,1223.6890899999999
296.045,1094.301925,1234.213635
296.377,1126.50056,1242.86454
296.708,1138.4607749999998,1226.8727350000001
297.039,1065.023215,1181.2668150000002
297.37,1061.44731,1182.73182
297.701,1087.40717,1209.99864
298.032,1088.5686349999999,1220.563635
298.363,1085.1948200000002,1219.3231799999999
298.694,1085.29504,1220.595915
299.025,1208.7145799999998,1277.6390900000001
299.356,1214.7329,1305.19045
299.687,1149.225,1288.7304550000001
300.018,1154.042095,1278.127275
300.349,1179.9995499999995,1286.4904599999998
300.679,1251.3907649999999,1329.487725
301.01,1232.74682,1346.179095
301.341,1194.1622750000001,1342.1690899999999
301.671,1194.8495049999997,1339.58318
302.002,1212.84101,1340.19227
302.332,1211.17913,1335.55591
302.662,1194.082685,1331.9909049999999
302.993,1228.394475,1358.965
303.323,1284.1583899999998,1382.772275
303.653,1261.935775,1352.545
303.983,1230.40814,1327.119995
304.313,1203.07825,1314.665905
304.643,1204.862685,1301.97545
304.974,1185.811045,1270.10545
305.303,1125.2723799999999,1207.89591
305.633,1036.6253499999998,1130.07364
305.963,955.25059,1079.362725
306.293,976.442445,1077.49727
306.623,970.6492300000001,1041.8172749999999
306.953,842.20703,949.3813699999998
