Date/Time,Lux
2024-10-04 12:22:23,Found a TSL2591 sensor
2024-10-04 12:22:33,TSL2591 Test
2024-10-04 12:22:43,Lux: 0.081
2024-10-04 12:22:53,Lux: 0.081
2024-10-04 12:23:03,Lux: 0.081
2024-10-04 12:23:13,Lux: 0.081
2024-10-04 12:23:23,Lux: 0.081
2024-10-04 12:23:33,Lux: 0.082
2024-10-04 12:23:43,Lux: 0.081
2024-10-04 12:23:53,Lux: 0.081
2024-10-04 12:24:03,Lux: 0.082
2024-10-04 12:24:13,Lux: 0.081
2024-10-04 12:24:24,Lux: 0.081
2024-10-04 12:24:34,Lux: 0.081
2024-10-04 12:24:44,Lux: 0.081
2024-10-04 12:24:54,Lux: 0.082
2024-10-04 12:25:04,Lux: 0.081
2024-10-04 12:25:14,Lux: 0.081
2024-10-04 12:25:24,Lux: 0.081
2024-10-04 12:25:34,Lux: 0.081
2024-10-04 12:25:44,Lux: 0.081
2024-10-04 12:25:54,Lux: 0.081
2024-10-04 12:26:04,Lux: 0.081
2024-10-04 12:26:14,Lux: 0.081
2024-10-04 12:26:24,Lux: 0.081
2024-10-04 12:26:34,Lux: 0.082
2024-10-04 12:26:44,Lux: 0.081
2024-10-04 12:26:54,Lux: 0.081
2024-10-04 12:27:04,Lux: 0.080
2024-10-04 12:27:14,Lux: 0.082
2024-10-04 12:27:24,Lux: 0.081
2024-10-04 12:27:34,Lux: 0.081
2024-10-04 12:27:44,Lux: 0.081
2024-10-04 12:27:54,Lux: 0.081
2024-10-04 12:28:04,Lux: 0.081
2024-10-04 12:28:14,Lux: 0.081
2024-10-04 12:28:24,Lux: 0.080
2024-10-04 12:28:34,Lux: 0.081
2024-10-04 12:28:44,Lux: 0.081
2024-10-04 12:28:54,Lux: 0.081
2024-10-04 12:29:04,Lux: 0.081
2024-10-04 12:29:14,Lux: 0.081
2024-10-04 12:29:24,Lux: 0.081
2024-10-04 12:29:34,Lux: 0.080
2024-10-04 12:29:44,Lux: 0.080
2024-10-04 12:29:54,Lux: 0.081
2024-10-04 12:30:04,Lux: 0.081
2024-10-04 12:30:14,Lux: 0.081
2024-10-04 12:30:24,Lux: 0.081
2024-10-04 12:30:34,Lux: 0.081
2024-10-04 12:30:44,Lux: 0.080
2024-10-04 12:30:54,Lux: 0.080
2024-10-04 12:31:04,Lux: 0.080
2024-10-04 12:31:14,Lux: 0.080
2024-10-04 12:31:24,Lux: 0.080
2024-10-04 12:31:34,Lux: 0.080
2024-10-04 12:31:44,Lux: 0.080
2024-10-04 12:31:54,Lux: 0.080
2024-10-04 12:32:04,Lux: 0.080
2024-10-04 12:32:14,Lux: 0.080
2024-10-04 12:32:24,Lux: 0.080
2024-10-04 12:32:34,Lux: 0.080
2024-10-04 12:32:44,Lux: 0.081
2024-10-04 12:32:54,Lux: 0.080
2024-10-04 12:33:04,Lux: 0.080
2024-10-04 12:33:14,Lux: 0.081
2024-10-04 12:33:24,Lux: 0.080
2024-10-04 12:33:34,Lux: 0.080
2024-10-04 12:33:44,Lux: 0.080
2024-10-04 12:33:54,Lux: 0.080
2024-10-04 12:34:04,Lux: 0.080
2024-10-04 12:34:14,Lux: 0.080
2024-10-04 12:34:24,Lux: 0.080
2024-10-04 12:34:34,Lux: 0.080
2024-10-04 12:34:44,Lux: 0.080
2024-10-04 12:34:54,Lux: 0.080
2024-10-04 12:35:04,Lux: 0.080
2024-10-04 12:35:14,Lux: 0.081
2024-10-04 12:35:24,Lux: 0.081
2024-10-04 12:35:34,Lux: 0.081
2024-10-04 12:35:44,Lux: 0.080
2024-10-04 12:35:54,Lux: 0.080
2024-10-04 12:36:04,Lux: 0.081
2024-10-04 12:36:14,Lux: 0.080
2024-10-04 12:36:24,Lux: 0.080
2024-10-04 12:36:34,Lux: 0.080
2024-10-04 12:36:44,Lux: 0.081
2024-10-04 12:36:54,Lux: 0.080
2024-10-04 12:37:04,Lux: 0.080
2024-10-04 12:37:14,Lux: 0.080
