Time (hours),Date/Time,Temperature (ºC)_incubator,Humidity (%RH)_incubator,Pressure (hPA)_incubator,Light (lux)_incubator,Temperature (ºC)_hypomagnetic,Humidity (%RH)_hypomagnetic,Pressure (hPA)_hypomagnetic,Light (lux)_hypomagnetic
5.466666666666667,2024-06-07 01:28:00+00:00,20.585,61.17,998.21,0.0,20.325,62.1425,998.895,0.0
5.45,2024-06-07 01:27:00+00:00,20.56,61.16,998.2133333333336,0.0,20.335,62.16,998.885,0.0
5.433333333333334,2024-06-07 01:26:00+00:00,20.565,61.1475,998.2075,0.0,20.34,62.165000000000006,998.9,0.0
5.416666666666667,2024-06-07 01:25:00+00:00,20.565,61.14500000000001,998.2075,0.0,20.3225,62.1575,998.875,0.0
5.4,2024-06-07 01:24:00+00:00,20.59,61.15,998.21,0.0,20.325,62.165000000000006,998.89,0.0
5.383333333333334,2024-06-07 01:23:00+00:00,20.566666666666663,61.156666666666666,998.1966666666668,0.0,20.32,62.155,998.9025,0.0
5.366666666666666,2024-06-07 01:22:00+00:00,20.5675,61.145,998.2225,0.0,20.33,62.165000000000006,998.89,0.0
5.35,2024-06-07 01:21:00+00:00,20.5675,61.1675,998.225,0.0,20.325,62.1625,998.9,0.0
5.333333333333333,2024-06-07 01:20:00+00:00,20.57,61.15,998.24,0.0,20.335,62.1775,998.89,0.0
5.316666666666666,2024-06-07 01:19:00+00:00,20.57,61.15,998.2125,0.0,20.315,62.18000000000001,998.8725,0.0
5.3,2024-06-07 01:18:00+00:00,20.5775,61.1525,998.21,0.0,20.32,62.1725,998.865,0.0
5.283333333333333,2024-06-07 01:17:00+00:00,20.5575,61.1475,998.1925,0.0,20.3325,62.1625,998.85,0.0
5.266666666666667,2024-06-07 01:16:00+00:00,20.56,61.14,998.175,0.0,20.3175,62.175,998.8925,0.0
5.25,2024-06-07 01:15:00+00:00,20.563333333333333,61.14333333333334,998.21,0.0,20.315,62.175,998.8475,0.0
5.233333333333333,2024-06-07 01:14:00+00:00,20.5625,61.135000000000005,998.195,0.0,20.3175,62.1625,998.845,0.0
5.216666666666667,2024-06-07 01:13:00+00:00,20.5675,61.127500000000005,998.18,0.0,20.325,62.1675,998.8525,0.0
5.2,2024-06-07 01:12:00+00:00,20.575,61.135000000000005,998.1775,0.0,20.3325,62.1725,998.8225,0.0
5.183333333333334,2024-06-07 01:11:00+00:00,20.56,61.155,998.155,0.0,20.3225,62.182500000000005,998.8175,0.0
5.166666666666667,2024-06-07 01:10:00+00:00,20.565,61.125,998.1625,0.0,20.3325,62.18,998.8049999999998,0.0
5.15,2024-06-07 01:09:00+00:00,20.575,61.125,998.1875,0.0,20.315,62.175,998.8,0.0
5.133333333333334,2024-06-07 01:08:00+00:00,20.555,61.145,998.1675,0.0,20.315,62.175,998.815,0.0
5.116666666666666,2024-06-07 01:07:00+00:00,20.58,61.135,998.165,0.0,20.32,62.1875,998.8375,0.0
5.1,2024-06-07 01:06:00+00:00,20.555,61.13,998.155,0.0,20.3125,62.1725,998.8125,0.0
