Time (hours),Date/Time,Temperature (ºC)_incubator,Humidity (%RH)_incubator,Pressure (hPA)_incubator,Light (lux)_incubator,Temperature (ºC)_hypomagnetic,Humidity (%RH)_hypomagnetic,Pressure (hPA)_hypomagnetic,Light (lux)_hypomagnetic
12.283333333333333,2024-09-20 19:17:00+00:00,20.0725,66.89500000000001,1000.4675,0,20.5,62.915,1001.035,0
12.266666666666667,2024-09-20 19:16:00+00:00,20.06,66.9,1000.4775,0,20.495,62.9225,1001.0175,0
12.25,2024-09-20 19:15:00+00:00,20.0425,66.9025,1000.465,0,20.497500000000002,62.9025,1001.0425,0
12.233333333333333,2024-09-20 19:14:00+00:00,20.06,66.89500000000001,1000.4575,0,20.505000000000003,62.9125,1000.995,0
12.216666666666667,2024-09-20 19:13:00+00:00,20.05,66.9025,1000.48,0,20.5,62.91,1001.0225,0
12.2,2024-09-20 19:12:00+00:00,20.07,66.905,1000.4525,0,20.5,62.9125,1000.985,0
12.183333333333334,2024-09-20 19:11:00+00:00,20.0525,66.88499999999999,1000.45,0,20.5,62.9,1000.9825,0
12.166666666666666,2024-09-20 19:10:00+00:00,20.0625,66.8975,1000.45,0,20.495,62.92,1000.9975,0
12.15,2024-09-20 19:09:00+00:00,20.0575,66.905,1000.4275,0,20.490000000000002,62.9,1000.9975,0
12.133333333333333,2024-09-20 19:08:00+00:00,20.07,66.91,1000.4525,0,20.505000000000003,62.91,1001.02,0
12.116666666666667,2024-09-20 19:07:00+00:00,20.06,66.9075,1000.5225,0,20.512500000000003,62.895,1001.0575,0
12.1,2024-09-20 19:06:00+00:00,20.0675,66.91749999999999,1000.58,0,20.5025,62.8975,1001.1425,0
12.083333333333334,2024-09-20 19:05:00+00:00,20.055,66.89500000000001,1000.6075,0,20.497500000000002,62.9075,1001.1725,0
12.066666666666666,2024-09-20 19:04:00+00:00,20.065,66.92,1000.6575,0,20.5,62.915,1001.2075,0
12.05,2024-09-20 19:03:00+00:00,20.05,66.89750000000001,1000.6975,0,20.505000000000003,62.91,1001.2275,0
12.033333333333333,2024-09-20 19:02:00+00:00,20.07,66.9125,1000.735,0,20.517500000000002,62.91,1001.255,0
